OBJECTID,305B ID,Acres,NHD Basin,Cycle,Name,Location,Aquatic Life,Recreation,FIish Consumption,Drinking Water Supply,Shape__Area,Shape__Length
108,CT4020-06-1-L1_01,275.37,01080205,2012,Rogers Lake (Lyme/Old Lyme),Lyme - Old Lyme border.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,11994935.586731,31984.5558285207
109,CT4300-05-1-L2_01,14.32,01080207,2012,Howells Pond (Hartland),"Northwest corner of Hartland, Dish Mill Road.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,623913.792663574,3575.16350732185
110,CT4308-00-1-L2_01,385.75,01080207,2012,Compensating Res. (L. McDonough) (Barkhamsted/New Hartford),Southeast Barkhamsted - northeast New Hartford.,Fully Supporting,Fully Supporting,Not Supporting,Fully Supporting,16803189.2424316,52352.7224736564
111,CT4500-00-1-L1_01,511.85,01080205,2012,Shenipsit Lake (Tolland/Ellington/Vernon),"At meeting point of Ellington, Vernon and Tolland. CT Water Company watershed.",Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting,22295951.9761963,38880.7337829988
112,CT4305-00-1-L1_01,245.54,01080207,2012,West Hill Pond (New Hartford/Barkhamsted),Northwest corner of New Hartford.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,10695983.3036499,17327.4032896646
113,CT4303-02-1-L1_01,83.39,01080207,2012,Burr Pond (Torrington),"South of Burr Mountain Rd, Northeast corner of Torrington.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3632584.06866455,16500.1561228506
114,CT4321-00-1-L2_01,9.4,01080207,2012,Barber Pond (Bloomfield/Windsor),"NE corner of Bloomfield, near Windsor border, N of Newberry Road.",Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,409580.228881836,4301.4478232549
115,CT4500-00-3-L3_01,49.9,01080205,2012,Union Pond (Manchester),Impoundment of Hockanum River in Manchester at Union Street.,Not Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,2173456.36401367,8614.07142330482
116,CT4500-14-1-L1_01,5.87,01080205,2012,Center Spring Park Pond (Manchester),"Center of Manchester, impoundment of Bigalow Brook.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,255698.926696777,2192.4025363077
117,CT4707-00-2-L2_01,5.14,01080205,2012,Gay City Pond (Hebron),Gay City State Park.  Impoundment of Black Ledge River. NW corner of Hebron.,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,223781.077392578,2790.65186705454
118,CT4401-00-1-L1_01,145.49,01080205,2012,Batterson Park Pond (Farmington/New Britain),Southeast Farmington - northeastern border of New Britain.,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6337717.80187988,11945.7822982541
119,CT4402-04-2-L1_01,2.71,01080205,2012,Mill Pond (Newington),Municipal park in Newington; S of Rt 175 near intersection of Rts 175 and 176,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,118167.937194824,1732.90177015225
120,CT4315-05-1-L1_01,11.84,01080207,2012,Birge Pond (Bristol),"West of Rt 69 and Pond Street, Bristol",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,515706.809204102,4085.72462531876
121,CT4705-00-1-L1_01,68.67,01080205,2012,Holbrook Pond (Hebron),Northeast corner of Hebron; northeast of Rt 85.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2991123.20147705,8150.61640819017
122,CT6005-04-1-L1_01,155.9,01100005,2012,Riga Lake (Salisbury),"Northwestern Salisbury, small portion crossws the New York border.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6791215.84759521,18898.2629841541
123,CT5111-09-2-L3_01,9.39,01100004,2012,"Branford Supply Pond, Northwest (Branford)",Northwest Branford Supply Pond receives water from Pisgah Brook and Pine Gutter Brook (Int trib to Pisgah Brook). Discharges to Southeast Branford Supply Pond. Ponds located on north side of I95 (east of Lake Saltonstall area).,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,409075.181762695,4211.48706473134
124,CT4708-00-2-L1_01,81.29,01080205,2012,"Terramuggus, Lake (Marlborough)","Intersection of Routes 2 & 66, northwest corner of Marlborough.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3541089.32202148,9240.49765433914
125,CT4709-04-1-L1_01,502.28,01080205,2012,Pocotopaug Lake (East Hampton),"North of Rt 66, East Hampton.",Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,21879476.708252,31556.9655711367
126,CT4601-00-1-L2_01,140.58,01080205,2012,Silver Lake (Berlin/Meriden),"Southeast corner of Berlin, extending slightly into northeast Meriden.",Not Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,6123651.40002441,19689.5237317629
127,CT4000-40-1-L1_01,71.91,01080205,2012,Great Hill Pond (Portland),"Great Hill Pond Road, Portland, 0.75 miles due north of Rt. 66, near East Hampton border.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3132387.52270508,8475.08169450746
128,CT4700-02-1-L1_01,7.35,01080205,2012,Day Pond (Colchester),"Impoundment and headwaters of Day Pond Brook. Day Pond Road, Colchester (east of Rte. 149).",Not Assessed,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,320186.260620117,2933.56167974682
129,CT4710-06-1-L1_01,82.11,01080205,2012,Pickerel Lake (Colchester/East Haddam),"Southeast corner of Colchester, extending slightly into E. Haddam.  Drains to Moodus Reservoir",Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3576632.83843994,14161.952164617
130,CT4800-04-1-L1_01,172.41,01080205,2012,"Hayward, Lake (East Haddam)",Northeast corner of East Haddam.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,7510115.91497803,20347.5027974418
131,CT4013-05-1-L1_01,30.96,01080205,2012,Crystal Lake (Middletown),"South of Randolph Road, Middletown.",Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1348373.05950928,11255.5418040463
132,CT4607-10-1-L1_01,112.83,01080205,2012,Beseck Lake (Middlefield),East central Middlefield.,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4914699.51251221,12942.445154837
133,CT4710-00-1-L2_01,440.74,01080205,2012,Moodus Reservoir (East Haddam),Northeast East Haddam.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,19198771.1565552,61417.977921742
134,CT4013-08-1-L1_01,15.24,01080205,2012,Dooley Pond (Middletown),"East of Rt 17, Middletown, 1.5 miles South of Randolph Rd.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,663787.196289063,4895.55373637207
135,CT4710-00-1-L1_01,265.54,01080205,2012,Bashan Lake (East Haddam),"North Central East Haddam, drains to Moodus Reservoir.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,11567123.2358398,28316.8113278341
136,CT4014-03-2-L1_01,26.4,01080205,2012,Higganum Reservoir (Haddam),West of Rt 81 just south of Higganum center.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1150062.77008057,8248.6119146637
137,CT4017-03-1-L3_01,52.25,01080205,2012,Pattaconk Reservoir (Chester),"1.25 miles north of Rt 148, Cockaponset State Forest, Chester.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2276078.93615723,11858.0551027254
138,CT4017-03-1-L4_01,70.65,01080205,2012,Cedar Lake (Chester),"North of Rt. 148, Chester.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3077679.4755249,8095.64798454739
139,CT4800-10-1-L1_01,29.4,01080205,2012,Norwich Pond (Lyme),"Southeast corner of Lyme, located within Nehantic State Forest. Drains to Uncas Lake.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1280668.80609131,5068.87985715222
140,CT4800-16-1-L2_01,69.03,01080205,2012,Uncas Pond (Lyme),"Southeast Lyme, located within Nehantic State Forest.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3006810.01574707,10186.417211525
141,CT4019-00-1-L3_01,81.67,01080205,2012,Messerschmidt Pond (Westbrook/Deep River),Rt 145 Westbrook; straddles Westbrook/Deep River border.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3557669.03765869,15715.9792037028
142,CT4019-00-1-L4_01,29.74,01080205,2012,Wrights Pond (Westbrook/Deep River/Essex),"Meeting point of Westbrook, Deep River and Essex.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1295495.04003906,9276.67395084229
143,CT4302-16-1-L1_01,448.18,01080207,2012,Highland Lake (Winchester),Southeast corner of Winchester.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,19522854.8388672,42660.4606131418
144,CT3805-00-3-L6_01,77.15,01100002,2012,Papermill Pond (Sprague),"Impoundment of Little River, Sprague.",Not Assessed,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,3360761.06787109,12713.7080777554
145,CT4318-03-1-L1_01,2.35,01080207,2012,Stratton Brook Park Pond (Simsbury),"Small impoundment of Stratton Brook,  Simsbury;  south of Rte 309.",Not Assessed,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,102348.431518555,1350.69812036027
146,CT3404-01-1-L1_01,120.48,01100001,2012,Killingly Pond (Killingly/Rhode Island),Norhteast corner of Killingly on RI border; a little over half of the lake is within CT.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5248056.37072754,14372.9769053771
147,CT4010-00-1-L1_01,27.22,01080205,2012,1860 Reservoir (Griswold Pond) (Wethersfield),"Southwestern Wethersfiled, near Rocky Hill and Newington borders, west side of Highland Street (headwater of Goff Brook).",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1185695.35565186,5686.0805925175
148,CT5111-09-2-L3_02,17.05,01100004,2012,"Branford Supply Pond, Southeast (Branford)","Southeast Branford Supply Pond located on north side of I95, receives water from northwest Branford Supply Pond, and discharges to Pisgah Brook below ponds (continues into Branford River below Route 1 crossing).",Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,742700.976013184,6430.24244980972
149,CT5202-00-1-L3_01,10.68,01100004,2012,Mixville Pond (Cheshire),"Mixville Road, Cheshire.  Impoundment at head of Tenmile River",Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,465258.132019043,4528.27458217864
150,CT4607-00-UL_pond_01,1.37,01080205,2012,Wadsworth Falls Park Pond (Middletown),"Small pond within Wadsworth Falls State Park, between mouths of Laurel Brook and Wadsworth Brook, Middlefield.",Not Assessed,Not Supporting,Not Assessed,Water Not Classified For Drinking Supply,59807.0780639648,966.014095373398
151,CT3900-00-UL_pond_01,0.58,01100003,2012,Browning Pond (Norwich Landfill)-01,"Located southwest of Route 2/32, near exit 27 offramp, along Browning Road (rivers entering and exiting pond are intermittent), Norwich (influenced by Landfill).",Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,25247.1849975586,812.441000152715
152,CT7108-00-3-L3_01,14.95,01100006,2012,"Mohegan, Lake (Fairfield)","Impoundment of Mill River, Fairfield; upstream of Samp Mortar Reservoir",Not Assessed,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,651122.469848633,4392.45562252625
153,CT6910-14-1-L3_01,9.48,01100005,2012,Black Rock Lake (Watertown),"Impoundment of Purgatory Brook (trib to Branch Brook), Watertown; west of Rte 6.",Not Assessed,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,412757.397766113,5702.41425254009
154,CT3800-00-6+L3_01,14.3,01100002,2012,Spaulding Pond (Norwich),"Mohegan Park, Norwich (Mohegan Park Rd)",Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,622674.853637695,3909.72429641666
155,CT4009-00-2-L4_01,9.35,01080205,2012,Angus Park Pond (Glastonbury),"Impoundment of Roaring Brook, east of Rte 83 Glastonbury.",Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,407170.603149414,3554.73329429429
156,CT3708-01-1-L1_01,38.42,01100001,2012,Muddy Pond (Woodstock),"headwaters of Muddy Brook, near MA border, Woodstock",Not Assessed,Fully Supporting,Fully Supporting,Not Assessed,1673439.31640625,7910.7739392094
157,CT3207-16-1-L1_01,6.05,01100002,2012,Bicentennial Pond (Mansfield),"Impoundment of Schoolhouse Brook, Spring Hill area of Mansfield",Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,263646.824890137,2833.0142623508
158,CT6000-00-5+L1_01,1594.85,01100005,2012,"Lillinonah, Lake (Newtown/Southbury/Bridgewater/Brookfield)","Impoundment of Housatonic River, from Shepaug Dam US to top of impundment, south side of Lovers Leap Road; Southbury and Bridgewater along east bank, Newtown, Brookfield, and New Milford along west bank.",Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,70562246.552124,190484.378351044
159,CT4013-00-1-L1_01,29.87,01080205,2012,Millers Pond (Durham),Durham,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1301271.86291504,6859.09879927148
160,CT3805-00-3-L5_01,22.85,01100002,2012,Hanover Reservoir (Sprague/Canterbury),Sprague,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,995425.298339844,7636.77733862426
161,CT3206-00-1-L2_01,52.15,01100002,2012,"Chaffee, Lake (Ashford)",Ashford,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,2271699.66931152,10048.843895603
162,CT3206-12-1-L1_01,110.95,01100002,2012,Knowlton Pond (Ashford),Ashford,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,4832929.02844238,18983.695167707
163,CT3800-05-1-L4_01,38.55,01100002,2012,Big Pond (Lebanon/Windham),Lebanon,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1678994.03912354,6785.53012221459
164,CT3202-00-1-L1_01,29.69,01100002,2012,Keach Pond (Woodstock),Woodstock,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,1293320.20239258,7086.94403541769
165,CT6302-00-1-L1_01,19.82,01100005,2012,Hatch Pond (Sharon),Sharon,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,863370.963500977,6511.7871588283
166,CT6802-12-1-L1_01,28.57,01100005,2012,Cat Swamp Pond (Woodbury),Woodbury,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1244650.97064209,5760.59840480574
167,CT6302-01-1-L2_01,22.9,01100005,2012,Ford Pond (Sharon),Sharon,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,997369.68170166,4926.01835515457
168,CT6911-07-1-L1_01,44.85,01100005,2012,Plymouth Lake (Plymouth),Plymouth,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1953735.39788818,6568.85633039587
169,CT6202-00-1-L1_01,177.88,01100005,2012,"Wangum, Lake (Canaan)",Canaan,Fully Supporting,Not Assessed,Fully Supporting,Not Assessed,7748519.16705322,16120.0697969403
170,CT6900-40-1-L1_01,68.82,01100005,2012,Beaver Lake (Seymour),Seymour,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,2997892.38696289,15201.147147824
171,CT6301-08-1-L1_01,195.81,01100005,2012,Indian Lake (Sharon/NY State Line),Sharon,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8529639.60290527,16881.4792504679
172,CT6900-42-1-L1_01,29.93,01100005,2012,Upper Derby Hill Reservoir (Derby),Derby,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1303590.55126953,6386.92334096231
173,CT6015-00-1-L1_01,27.33,01100005,2012,Peck Pond (Sharon),Sharon,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1190269.84039307,6446.3212254686
174,CT4300-00-1+L2_01,201.82,01080207,2012,West Branch Reservoir (Colebrook/Hartland),Colebrook,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,8791317.00848389,18594.3807124632
175,CT2107-00-1-L6_01,194.68,01100003,2012,Groton (Poquonnock) Reservoir (Groton),Groton,Fully Supporting,Not Assessed,Fully Supporting,Not Assessed,8480114.37084961,37619.5972183407
176,CT3902-00-1-L1_01,250.3,01100003,2012,Williams Pond (Lebanon),Lebanon,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,10902838.8339233,34166.6678537983
177,CT2203-00-1-L2_01,288.66,01100003,2012,"Konomoc, Lake (Waterford/Montville)",Waterford,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,12574084.7548218,37148.7687208462
178,CT3900-11-1-L1_01,91.15,01100003,2012,Bog Meadow Reservoir (Norwich),Norwich,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,3970596.34436035,19035.8026610003
179,CT4200-00-4-L2_01,40.9,01080205,2012,Somersville Pond (Somers),Near eastern border of Somers with Enfield; pond is south of intersection of Rte 190 and Rte 186. ,Fully Supporting,Not Assessed,Fully Supporting,"Potential Supply, Not Assessed For Drinking Water",1784766.78594971,23848.8380141798
180,CT6005-04-1-L2_01,123,01100005,2012,South Pond (Salisbury),"Northwest corner of Salisbury, at the end of Mt. Riga Road. Downstream of Riga Lake, on private property managed by Mt. Riga, Inc.",Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,5357373.98907471,20511.7335996065
181,CT4017-04-1-L1_01,75.9,01080205,2012,Turkey Hill Reservoir (Haddam/Chester),"Straddles southern border of Haddam with Chester.  Located within Cockaponset State Forest, bounded by Cedar Lake Road and Filley Road.",Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,3309720.42907715,13036.8191365546
182,CT3106-06-1-L2_01,2.63,01100002,2012,Crandall Pond (Cider Mill Pond) (Tolland),"Cider Mill Road, Tolland (just north of I84, in Crandall Park)
formerly CT3106-00-2-L2_01 (wrong waterbody)
",Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,114672.52923584,1335.89294512298
