OBJECTID,305B ID,Acres,NHD Basin,Cycle,Name,Location,Aquatic Life,Recreation,FIish Consumption,Drinking Water Supply,Shape__Area,Shape__Length
24,CT3400-00-1-L1_01,65.82,01100001,2012,Little (Schoolhouse) Pond (Thompson),"Norhteast corner of Thompson, near MA border.  Headwaters of Fivemile River.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2866999.86291504,7524.77206212984
25,CT3300-00-3+L3_01,58.66,01100001,2012,North Grosvenordale Pond Impoundment (Thompson),"Impoundment of French River in north central Thompson, near MA border.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2555402.07568359,18760.6963392229
26,CT3700-28-1-L1_01,71.06,01100001,2012,Wauregan (Quinebaug) Pond (Killingly),Southwestern corner of Killingly.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3095502.21020508,9990.13750926723
27,CT4315-10-1-L1_01,8.13,01080207,2012,Pine Lake (Malones Pond) (Bristol),"East Bristol, south of Pine Street",Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,354019.180664063,5593.24259782446
28,CT4300-00-1+L1_01,852.34,01080207,2012,Colebrook River (Reservoir) Lake (Colebrook),"Northeast corner of Colbrook, extends slightly into MA and Hartland.",Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,37128146.1702271,63814.4863274892
29,CT5206-01-1-L2_01,69.89,01100004,2012,Black Pond (Meriden/Middlefield),"On Meriden/Middlefield town border, south side of Meriden Road (Route 66).",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3044564.32696533,18777.7119415251
30,CT6000-00-5+L2_01,580.57,01100005,2012,"Zoar, Lake (Monroe/Newtown/Oxford/Southbury)","From Stevenson Dam, Oxford/Monroe, US to a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside).",Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,25289589.4596558,72327.8061340757
31,CT3705-00-1-L1_01,37.56,01100001,2012,Griggs Pond (Woodstock),Northwest corner of Woodstock.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1635983.49139404,7640.62529216423
32,CT3203-00-1-L2_01,25.8,01100002,2012,Bigelow Pond (Union),DS of Mashapaug Lake in northern Union.,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,1123731.54296875,8980.97603002542
33,CT3201-01-1-L1_01,71.88,01100002,2012,Black Pond (Woodstock),"Eastern Woodstock, south of Rte 197.",Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,3130968.1663208,8213.55301829718
34,CT3708-00-1-L1_01,96.38,01100001,2012,Roseland Lake (Woodstock),Southeast section of Woodstock.,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,4198419.69787598,10217.3549885235
35,CT3101-03-1-L1_01,187.38,01100002,2012,Crystal Lake (Ellington/Stafford),"Northeast section of Ellington, small part in southwestern section of Stafford.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8162240.69091797,15824.0721676234
36,CT3700-23-1-L1_01,189.55,01100001,2012,Alexander Lake (Killingly),Dayville section of Killingly.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8256818.3036499,20428.834188224
37,CT3200-01-1-L1_01,83.16,01100002,2012,Halls Pond (Eastford/Ashford),SW corner of Eastford.,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,3622364.23071289,15866.343635813
38,CT3108-02-1-L2_01,117.2,01100002,2012,"Bolton Lake, Middle (Vernon)",Southeast section of Vernon.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5105195.54064941,14402.0904399336
39,CT3108-02-1-L3_01,176.46,01100002,2012,"Bolton Lake, Lower (Bolton/Vernon)","Mostly in NE corner of Bolton, continues into SE corner of Vernon.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,7686569.55908203,14188.1128172936
40,CT3100-00-3-L1_01,79.49,01100002,2012,Eagleville Pond (Coventry/Mansfield),"Impoundment of Willimantic River, just south of Mansfield Depot, along Mansfield/ Coventry border.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3462805.21105957,17987.1309554204
41,CT3105-00-1-L1_01,374.45,01100002,2012,Waumgumbaug Lake (Coventry),East - Central Coventry,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,16310861.2068481,28780.0565176016
42,CT3502-07-1-L1_01,89.27,01100001,2012,Moosup Pond (Plainfield),Northeast section of Plainfield.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3888701.76495361,8348.27434821319
43,CT3108-13-1-L1_01,277.28,01100002,2012,Columbia Lake (Columbia),NW Columbia,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,12078446.763855,21109.9078424568
44,CT3109-01-1-L1_01,101.98,01100002,2012,Mono Pond (Columbia),"Southern Columbia, south of Rte 66.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4442177.62017822,19222.0255066852
45,CT3700-00-5+L4_01,308.86,01100001,2012,Aspinook Pond (Canterbury/Griswold/Lisbon),"Impoundment of Quinebaug River, parts in Canterbury, Griswold, & Lisbon (DS of Segment 02 in Quinebaug River)",Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,13453792.1264038,64711.4490705193
