OBJECTID,CT LAKE ID,305B ID,Name,Location,Acres,Aquatic Life,Recreation,Fish Consumption,Cycle,Drinking Water Supply,Shape__Area,Shape__Length
91,2719,CT6400-03-1-L1_01,Squantz Pond (New Fairfield/Sherman),"Northeast corner of New Fairfield and into Sherman; a large cove of Candlewood Lake, contained by Squantz Pond Dam at Route 39 crossing.",266.81,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,11622032.2028809,28210.684691589
92,1281,CT6916-00-3-L4_01,Hop Brook Lake (Waterbury/Middlebury),"Impoundment of Hop Brook, Waterbury/Naugatuck/Middlebury.",25.77,Not Assessed,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,1122640.50549316,9200.26477513475
93,100,CT6402-00-1-L1_01,Ball Pond (New Fairfield),New Fairfield,80.7,Fully Supporting,Not Supporting,Fully Supporting,2006,Not Evaluated In 2006,3515278.04956055,9286.17241609265
94,2852,CT6018-00-1-L1_01,Taunton Pond (Newtown),Central Newtown.,124.61,Fully Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,5427828.43841553,12136.694140425
95,1509,CT6600-01-1-L3_01,"Kenosia, Lake (Danbury)","Impoundment of Still River, Danbury.",56.75,Fully Supporting,Not Supporting,Fully Supporting,2006,Fully Supporting,2472096.25604248,8916.32958376067
96,1508,CT6000-00-5+L4_01,"Housatonic, Lake (Shelton/Derby/Seymour/Oxford/Monroe)","From Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (division of lower Lake Zoar and upper Lake Housatonic) Oxford/Monroe. First major impoundment of Housatonic River.",346.29,Fully Supporting,Not Supporting,Not Supporting,2006,Water Not Classified For Drinking Supply,15084487.2414551,69431.1317635216
97,310,CT6000-88-1-L1_01,Brewsters Pond (Stratford),"Stratford, east of Main Street (Rte 113).",4.02,Fully Supporting,Fully Supporting,Not Supporting,2006,Water Not Classified For Drinking Supply,175259.664916992,1855.54136019146
98,1252,CT6914-06-1-L1_01,Hitchcock Lake (Wolcott),"Southeast corner of Wolcott, near Cheshire border.",100.3,Fully Supporting,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,4369106.48999023,19245.2939149566
99,88,CT4704-00-1-L3_01,Babcock Pond (Colchester),"South of Rt 16, southeastern Colchester.  Within Babcock Pond Wildlife Management Area.",122.76,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,5347530.79412842,24396.3830008945
100,2354,CT4300-00-5+L5_01,Rainbow Reservoir (Windsor/Bloomfield/East Granby),Northwest corner of Windsor.  Impoundment of the Farmington River.,214.44,Not Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,9341026.01483154,60317.8718840426
101,2453,CT4020-06-1-L1_01,Rogers Lake (Lyme/Old Lyme),Lyme - Old Lyme border.,275.37,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,11994931.1644897,31984.5578473753
102,1297,CT4300-05-1-L2_01,Howells Pond (Hartland),"Northwest corner of Hartland, Dish Mill Road.",14.32,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,623934.477355957,3575.27615020574
103,1522,CT4308-00-1-L2_01,Compensating Res. (L. McDonough) (Barkhamsted/New Hartford),Southeast Barkhamsted - northeast New Hartford.,385.75,Fully Supporting,Fully Supporting,Not Supporting,2006,Fully Supporting,16803086.0518799,52353.2312455209
104,2596,CT4500-00-1-L1_01,Shenipsit Lake (Tolland/Ellington/Vernon),"At meeting point of Ellington, Vernon and Tolland. CT Water Company watershed.",511.85,Fully Supporting,Not Assessed,Fully Supporting,2006,Fully Supporting,22296051.9918823,38880.7702966558
105,3448,CT4305-00-1-L1_01,West Hill Pond (New Hartford/Barkhamsted),Northwest corner of New Hartford.,245.54,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,10695917.8934326,17327.4621740109
106,382,CT4303-02-1-L1_01,Burr Pond (Torrington),"South of Burr Mountain Rd, Northeast corner of Torrington.",83.39,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,3632578.5291748,16499.6750384152
107,112,CT4321-00-1-L2_01,Barber Pond (Bloomfield/Windsor),"NE corner of Bloomfield, near Windsor border, N of Newberry Road.",9.4,Not Assessed,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,409545.377075195,4301.26336830451
